Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-02,5410.24,5451.56,5409.27,5449.98,65232608
2006-01-03,5451.33,5496.46,5440.74,5460.68,207145520
2006-01-04,5494.46,5523.66,5477.6,5523.62,217456112
2006-01-05,5521.85,5526.41,5502.25,5516.52,207504192
2006-01-06,5521.52,5537.58,5507.91,5536.31,185893920
2006-01-09,5543.33,5553.54,5532.83,5537.1,195351584
2006-01-10,5528.06,5528.27,5482.18,5494.71,220546416
2006-01-11,5524.2,5537.48,5515.66,5532.89,216709664
2006-01-12,5533.25,5553.48,5516.24,5542.12,280490688
2006-01-13,5531.73,5531.73,5463.77,5483.08,272399680
2006-01-16,5464.98,5515.25,5462.54,5514.64,123521640
2006-01-17,5481.85,5481.85,5448.87,5460.16,200594320
2006-01-18,5419.18,5426.81,5363.64,5395.6,230738464
2006-01-19,5411.33,5438.91,5410.29,5430.83,221407472
2006-01-20,5433.68,5447.37,5344.52,5349.02,313446080
2006-01-23,5311.89,5350.24,5290.49,5348.72,217052592
2006-01-24,5350.77,5369.58,5321.27,5334.29,279603520
2006-01-25,5346.35,5430.08,5339,5427.08,331409408
2006-01-26,5433.04,5549.08,5422.25,5548.91,357154240
2006-01-27,5586.48,5650.95,5585.37,5647.41,318200384
2006-01-30,5636.24,5670.39,5619.06,5660.02,185899536
2006-01-31,5667.7,5697,5635.81,5674.14,126048216
2006-02-01,5662.05,5733.56,5643.4,5726.53,237136416
2006-02-02,5738.5,5760.62,5644.1,5649.6,236495552
2006-02-03,5662.68,5686.43,5614.29,5657.12,226755488
2006-02-06,5667.18,5702.75,5649.27,5666.77,193620656
2006-02-07,5680,5699.35,5630.1,5672.91,239911648
2006-02-08,5627.75,5675.56,5598.04,5666.41,264580096
2006-02-09,5694.46,5743.68,5694.46,5743.68,233027072
2006-02-10,5730.08,5745.49,5696.02,5701.47,223196080
2006-02-13,5699.43,5756.33,5683.87,5756.33,212307328
2006-02-14,5759.66,5786.68,5717.43,5763.39,216729040
2006-02-15,5766.6,5790.27,5744.96,5764.37,254223600
2006-02-16,5786.16,5790.27,5757.25,5789.25,211678432
2006-02-17,5784.64,5812.68,5773.52,5795.48,214593056
2006-02-20,5795.68,5802.72,5766.99,5793.95,134121952
2006-02-21,5798.89,5850.47,5780.99,5801.04,253517104
2006-02-22,5793.46,5862.06,5783.35,5862.06,240107664
2006-02-23,5868.12,5884.22,5820.35,5857.87,187346272
2006-02-24,5856.73,5873.1,5840.6,5870.79,141519072
2006-02-27,5888.81,5915.93,5871.75,5915.14,164251856
2006-02-28,5908.58,5916.79,5791.89,5796.04,216575824
2006-03-01,5806.96,5867.58,5796.41,5866.6,203675760
2006-03-02,5862.35,5885.73,5749.06,5783.49,308151616
