Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2006-01-03,7621.1,7701.6,7583.9,7628.6,63014000
2006-01-04,7691,7726.6,7629.2,7723.7,58171200
2006-01-05,7721.5,7735.1,7681.8,7703.3,51305600
2006-01-06,7704.4,7720.7,7691.9,7718.5,44831600
2006-01-09,7736.5,7743.6,7709.8,7715.6,68605800
2006-01-10,7690.4,7703.1,7644.7,7663.7,61882200
2006-01-11,7695.9,7753.8,7687.1,7752.1,76435400
2006-01-12,7759.5,7801,7757.4,7798.1,61077400
2006-01-13,7783.7,7802.5,7734.6,7802.5,65643800
2006-01-16,7781.2,7837.1,7769.7,7835.7,42653200
2006-01-17,7787.1,7801.3,7766.7,7785.6,62479000
2006-01-18,7672.5,7748.4,7654.7,7726.5,78445800
2006-01-19,7745.9,7771.6,7713.8,7771.6,70505400
2006-01-20,7761.8,7804.4,7697.4,7697.5,57736800
2006-01-23,7696.6,7708.5,7593.1,7702.7,64394400
2006-01-24,7706.4,7753,7673.7,7692.6,69461000
2006-01-25,7707.9,7712.5,7657.2,7682.7,76010800
2006-01-26,7716.2,7752.1,7705,7749.4,83649400
2006-01-27,7855,7856.3,7774.4,7779.4,61100000
2006-01-30,7797.8,7821.1,7778.6,7789.3,39716800
2006-01-31,7814.5,7832.4,7772.1,7810.9,54150000
2006-02-01,7818.3,7853.8,7807.3,7836.2,70141400
2006-02-02,7860,7874.9,7785.9,7785.9,78552400
2006-02-03,7799.6,7847.2,7788.8,7840.8,61550400
2006-02-06,7842.1,7901.3,7823.6,7839.6,76139400
2006-02-07,7846.7,7878.2,7810.5,7837.3,53520200
2006-02-08,7788.8,7868,7772.6,7831.9,77023400
2006-02-09,7875.8,7893.6,7859.5,7873.6,65802800
2006-02-10,7876.1,7903.3,7857.3,7861.6,61661200
2006-02-13,7842,7889.5,7813,7889.3,74364200
2006-02-14,7899.1,7938.2,7845,7882.4,50198800
2006-02-15,7859.1,7867,7789,7797.2,86681800
2006-02-16,7848.7,7906.6,7821.2,7906.6,95530200
2006-02-17,7929,7932.2,7885.5,7917.1,62190600
2006-02-20,7917.1,7956.2,7902.5,7950.2,50141000
2006-02-21,7973.8,8009.2,7968.1,8002.6,57277800
2006-02-22,7984.4,8046.6,7983.2,8040.5,59762000
2006-02-23,8046.9,8048.2,7983.8,7983.8,102808800
2006-02-24,7988.9,7996,7938.1,7954.3,69914000
2006-02-27,7979.2,7995.3,7923.2,7995,102866800
2006-02-28,7992.3,8010.7,7873.2,7892.6,184035000
2006-03-01,7891.8,7980.6,7886.6,7980.4,91091800
2006-03-02,7980.5,7990.7,7917.9,7926.2,83646800
2006-03-03,7902.5,7952.2,7880,7916,55444600
2006-03-06,7941,7949.6,7913.6,7917.2,55962400
2006-03-07,7878.1,7880.9,7807.5,7864.3,91461200
2006-03-08,7879.6,7886,7779.5,7831.5,105710600
2006-03-09,7878.7,7893.8,7847.1,7860.7,127756800
2006-03-10,7836.7,7970.6,7831.7,7970.6,93242800
2006-03-13,8002.8,8054.3,7995,8035.4,87019800
2006-03-14,8009,8064.9,8004.9,8034.2,62679000
2006-03-15,8073,8080,8012.2,8012.6,74989600
2006-03-16,8024.8,8031.5,7993,8018,60427600
2006-03-17,8077.5,8090.2,8035.5,8047.1,186816800
2006-03-20,8084,8108.3,8053.8,8059.4,68618000
2006-03-21,8056.6,8072.9,8024,8056.6,101928600
2006-03-22,8032.7,8070.4,8020,8064,123959400
2006-03-23,8085,8088.7,8000.9,8024.1,47594600
2006-03-24,8021.6,8057,8018.3,8045.1,36712200
2006-03-27,8053.1,8059.5,7980.1,7980.9,78164000
2006-03-28,7982.9,8018.1,7965.9,7972.9,44138600
2006-03-29,7972.1,7996.4,7946.6,7983.4,44229800
2006-03-30,8013.7,8042.9,7988.5,8035.3,43430400
2006-03-31,8013.5,8039.8,7995.8,8023.3,39667000
2006-04-03,8072,8088,8057.6,8078.5,82249200
2006-04-04,8066.9,8074.9,8036.5,8051.6,99759800
2006-04-05,8076.1,8095.2,8049.9,8090.5,76151200
2006-04-06,8114.3,8129.6,8091.8,8102.3,96690400
2006-04-07,8114,8133.4,8090.6,8105.2,78395200
2006-04-10,8090.9,8111.3,8073.6,8109.3,59308000
2006-04-11,8121.9,8129.7,8001.3,8029.1,83480000
2006-04-12,7990.6,8005.4,7946.9,7976.6,88522400
2006-04-13,7993.6,8012.7,7974.4,8007.3,70531300
2006-04-18,7973,7998.9,7941.6,7961.4,74717200
2006-04-19,8011.9,8050.9,8005.2,8050.9,65467600
2006-04-20,8054.8,8074.5,8020,8057,71422600
2006-04-21,8096.8,8104.2,8052.1,8093.5,122660200
2006-04-24,8072.8,8096.8,8056.7,8076.3,78833400
2006-04-25,8103,8131.8,8036.5,8041,84038400
2006-04-26,8065.3,8074.5,8022.9,8071.1,59496200
2006-04-27,8076.6,8080.2,8008.7,8080.1,108252800
2006-04-28,8075.7,8075.8,8029.3,8047.3,57503600
2006-05-02,8073.1,8106.5,8067.8,8074.7,105585200
2006-05-03,8093.8,8098.9,7964.6,7964.6,90937200
2006-05-04,7956.9,7970.8,7875.2,7965.4,77842000
2006-05-05,7962.7,8059.5,7960.3,8058.1,130527200
2006-05-08,8100.8,8125.7,8091,8103.6,76357200
2006-05-09,8109.8,8139.1,8088.3,8122.1,52124200
2006-05-10,8109.7,8138.4,8102.4,8112.9,83800600
2006-05-11,8129.2,8158.9,8094.2,8097.3,95228800
